conf_abbr	date	game_location	game_result	game_streak	losses	notes	opp_name	opp_points	points	school_name	ties	time_game	wins
Non-Major	1903-10-08		W	W 2	0		Albion	0	76	Michigan	0		2
Ind	1903-10-10		W	W 3	0		Beloit	0	79	Michigan	0		3
Non-Major	1903-10-14		W	W 4	0		Ohio Northern	0	65	Michigan	0		4
Western	1903-10-17		W	W 5	0		Indiana	0	51	Michigan	0		5
Non-Major	1903-10-21		W	W 6	0		Ferris State	0	88	Michigan	0		6
Ind	1903-10-24		W	W 7	0		Drake	0	47	Michigan	0		7
Western	1903-10-31	@	T	T 1	0		Minnesota	6	6	Michigan	1		7
Non-Major	1903-11-07		W	W 1	0		Ohio State	0	36	Michigan	1		8
Western	1903-11-14		W	W 2	0		Wisconsin	0	16	Michigan	1		9
Non-Major	1903-11-21		W	W 3	0		Oberlin	0	42	Michigan	1		10
Western	1903-11-26	@	W	W 4	0		Chicago	0	28	Michigan	1		11
Non-Major	1904-10-01		W	W 1	0		Case	0	33	Michigan	0		1
Non-Major	1904-10-05		W	W 2	0		Ohio Northern	0	48	Michigan	0		2
Non-Major	1904-10-08		W	W 3	0		Kalamazoo	0	95	Michigan	0		3
Non-Major	1904-10-12		W	W 4	0		Physicians & Surgeons	0	72	Michigan	0		4
Ind	1904-10-15	@	W	W 5	0		Ohio State	6	31	Michigan	0		5
Non-Major	1904-10-19		W	W 6	0		American Medical	0	72	Michigan	0		6
Non-Major	1904-10-22		W	W 7	0		West Virginia	0	130	Michigan	0		7
Western	1904-10-29	@	W	W 8	0		Wisconsin	0	28	Michigan	0		8
Ind	1904-11-05		W	W 9	0		Drake	4	36	Michigan	0		9
Western	1904-11-12		W	W 10	0		Chicago	12	22	Michigan	0		10
Non-Major	1905-09-30		W	W 1	0		Ohio Wesleyan	0	65	Michigan	0		1
Non-Major	1905-10-04		W	W 2	0		Kalamazoo	0	44	Michigan	0		2
Non-Major	1905-10-07		W	W 3	0		Case	0	36	Michigan	0		3
Non-Major	1905-10-11		W	W 4	0		Ohio Northern	0	23	Michigan	0		4
Ind	1905-10-14		W	W 5	0		Vanderbilt	0	18	Michigan	0		5
Ind	1905-10-21		W	W 6	0		Nebraska	0	31	Michigan	0		6
Non-Major	1905-10-25		W	W 7	0		Albion	0	70	Michigan	0		7
Ind	1905-10-28		W	W 8	0		Drake	0	48	Michigan	0		8
Western	1905-11-04	@	W	W 9	0		Illinois	0	33	Michigan	0		9
Non-Major	1905-11-11		W	W 10	0		Ohio State	0	40	Michigan	0		10
Western	1905-11-18		W	W 11	0		Wisconsin	0	12	Michigan	0		11
Non-Major	1905-11-25		W	W 12	0		Oberlin	0	75	Michigan	0		12
Western	1905-11-30	@	L	L 1	1		Chicago	2	0	Michigan	0		12
Non-Major	1906-10-06		W	W 1	0		Case	0	28	Michigan	0		1
Non-Major	1906-10-20	@	W	W 2	0		Ohio State	0	6	Michigan	0		2
Western	1906-10-27		W	W 3	0		Illinois	9	28	Michigan	0		3
Ind	1906-11-03		W	W 4	0		Vanderbilt	4	10	Michigan	0		4
Ind	1906-11-17	@	L	L 1	1		Pennsylvania	17	0	Michigan	0		4
Non-Major	1907-10-05		W	W 1	0		Case	0	9	Michigan	0		1
Non-Major	1907-10-12		W	W 2	0		Michigan State	0	46	Michigan	0		2
Non-Major	1907-10-19	@	W	W 3	0	Indianapolis, IN	Wabash	0	22	Michigan	0		3
Non-Major	1907-10-26		W	W 4	0		Ohio State	0	22	Michigan	0		4
Ind	1907-11-02	@	W	W 5	0		Vanderbilt	0	8	Michigan	0		5
Ind	1907-11-16		L	L 1	1		Pennsylvania	6	0	Michigan	0		5
Non-Major	1908-10-03		W	W 1	0		Case	6	16	Michigan	0		1
Non-Major	1908-10-10	@	T	T 1	0		Michigan State	0	0	Michigan	1		1
Non-Major	1908-10-17		W	W 1	0		Notre Dame	6	12	Michigan	1		2
Non-Major	1908-10-24	@	W	W 2	0		Ohio State	6	10	Michigan	1		3
Ind	1908-10-31		W	W 3	0		Vanderbilt	6	24	Michigan	1		4
Non-Major	1908-11-07		W	W 4	0		Kentucky	0	62	Michigan	1		5
Ind	1908-11-14		L	L 1	1		Pennsylvania	29	0	Michigan	1		5
Ind	1908-11-21	@	L	L 2	2		Syracuse	28	4	Michigan	1		5
Non-Major	1909-10-09		W	W 1	0		Case	0	3	Michigan	0		1
Non-Major	1909-10-16		W	W 2	0		Ohio State	6	33	Michigan	0		2
Non-Major	1909-10-23	@	W	W 3	0		Marquette	5	6	Michigan	0		3
Ind	1909-10-30		W	W 4	0		Syracuse	0	44	Michigan	0		4
Non-Major	1909-11-06		L	L 1	1		Notre Dame	11	3	Michigan	0		4
Ind	1909-11-13	@	W	W 1	1		Pennsylvania	6	12	Michigan	0		5
Western	1909-11-20	@	W	W 2	1		Minnesota	6	15	Michigan	0		6
Non-Major	1910-10-08		T	T 1	0		Case	3	3	Michigan	1		0
Non-Major	1910-10-15		W	W 1	0		Michigan State	3	6	Michigan	1		1
Non-Major	1910-10-22	@	T	T 1	0		Ohio State	3	3	Michigan	2		1
Ind	1910-10-29	@	W	W 1	0		Syracuse	0	11	Michigan	2		2
Ind	1910-11-12	@	T	T 1	0		Pennsylvania	0	0	Michigan	3		2
Western	1910-11-19		W	W 1	0		Minnesota	0	6	Michigan	3		3
Non-Major	1911-10-07		W	W 1	0		Case	0	24	Michigan	0		1
Non-Major	1911-10-14	@	W	W 2	0		Michigan State	3	15	Michigan	0		2
Non-Major	1911-10-21		W	W 3	0		Ohio State	0	19	Michigan	0		3
Ind	1911-10-28		W	W 4	0		Vanderbilt	8	9	Michigan	0		4
Ind	1911-11-04		T	T 1	0		Syracuse	6	6	Michigan	1		4
Ind	1911-11-11	@	L	L 1	1		Cornell	6	0	Michigan	1		4
Ind	1911-11-18		W	W 1	1		Pennsylvania	9	11	Michigan	1		5
MVIAA	1911-11-25	@	T	T 1	1		Nebraska	6	6	Michigan	2		5
Non-Major	1912-10-05		W	W 1	0		Case	0	34	Michigan	0		1
Non-Major	1912-10-12		W	W 2	0		Michigan State	7	55	Michigan	0		2
Non-Major	1912-10-19	@	W	W 3	0		Ohio State	0	14	Michigan	0		3
Ind	1912-10-26	@	L	L 1	1		Syracuse	18	7	Michigan	0		3
Non-Major	1912-11-02		W	W 1	1		South Dakota	6	7	Michigan	0		4
Ind	1912-11-09	@	L	L 1	2		Pennsylvania	27	21	Michigan	0		4
